_id,Time_Stamp,Device_ID,AC1,Current,voltage,Power_Factor,Real_Power,room_temp,Compressor_temp,External_temp,Current_mode_of_AC,Auto,Swing_dir,timing_clock_of_ac,AC_fan,AC_brand,Humidity,_updated,_created,_etag,_links,parent,collection
ObjectId(5db04f6e620444f3d7c9e139),2019-10-23T12:33:23.069684+00:00,011019,,0.15,242.22,0,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:02:38.000Z,2019-10-23T13:02:38.000Z,44e5b603d1a740aea4a237bb7c68aa65f0406da1,,,
ObjectId(5db04ff0620444f3d7c9e13a),2019-10-23T12:35:23.282669+00:00,011019,,0.16,243.68,0.11,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:04:48.000Z,2019-10-23T13:04:48.000Z,a7c927408b02e6af46890032aba083ebda101627,,,
ObjectId(5db05072620444f3d7c9e13b),2019-10-23T12:37:23.649996+00:00,011019,,0.16,242.02,0,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:06:58.000Z,2019-10-23T13:06:58.000Z,a2db1563aacc91445f1d23be54cfe81b8d000741,,,
ObjectId(5db050f4620444f3d7c9e13c),2019-10-23T12:39:24.107709+00:00,011019,,0.16,242.64,0.07,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:09:08.000Z,2019-10-23T13:09:08.000Z,82847b8f040895d6443343151b8ef6587fced6c1,,,
ObjectId(5db05176620444f3d7c9e13d),2019-10-23T12:41:24.653545+00:00,011019,,0.18,241,0.07,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:11:18.000Z,2019-10-23T13:11:18.000Z,6d04b166e27f8ab3aa1a7d1936fbc15918b9e16f,,,
ObjectId(5db051f8620444f3d7c9e13e),2019-10-23T12:43:24.918005+00:00,011019,,0.17,238.94,0.08,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:13:28.000Z,2019-10-23T13:13:28.000Z,46a2af8093e84acc8db8ae26942b1d3478b695ec,,,
ObjectId(5db0527a620444f3d7c9e13f),2019-10-23T12:45:25.323764+00:00,011019,,0.16,241.55,0.05,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:15:38.000Z,2019-10-23T13:15:38.000Z,4e1ee8d3d320153c3d043661864a1f7ebea43f96,,,
ObjectId(5db052fc620444f3d7c9e140),2019-10-23T12:47:25.781973+00:00,011019,,0.18,241.26,0.08,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:17:48.000Z,2019-10-23T13:17:48.000Z,95f73321d45e267991d6f400cde3b84b1b458c1d,,,
ObjectId(5db0537e620444f3d7c9e141),2019-10-23T12:49:26.141830+00:00,011019,,0.17,240.03,-0.01,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:19:58.000Z,2019-10-23T13:19:58.000Z,46038482ed6463811f3a75d43489a3ff2fd10916,,,
ObjectId(5db05418620444f3d7c9e142),2019-10-23T12:51:26.567456+00:00,011019,,0.17,243.34,0.05,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:22:32.000Z,2019-10-23T13:22:32.000Z,76b44a0ccd5d05d034482e7d1d948682162cdb91,,,
ObjectId(5db05482620444f3d7c9e143),2019-10-23T12:53:26.962781+00:00,011019,,0.17,240.78,0.14,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:24:18.000Z,2019-10-23T13:24:18.000Z,7c9ca8d47cfab659bee75bdda3f16ed20508384f,,,
ObjectId(5db05505620444f3d7c9e144),2019-10-23T12:55:27.385709+00:00,011019,,0.15,239.94,-0,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:26:29.000Z,2019-10-23T13:26:29.000Z,9537eba77a3df847d22181febee7a15f908c5602,,,
ObjectId(5db05587620444f3d7c9e145),2019-10-23T12:57:27.806123+00:00,011019,,0.2,240.39,0.06,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:28:39.000Z,2019-10-23T13:28:39.000Z,1a85361299cfc90696c6689e9e4467ca252b2f47,,,
ObjectId(5db05609620444f3d7c9e146),2019-10-23T12:59:28.215907+00:00,011019,,0.16,239.53,0.18,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:30:49.000Z,2019-10-23T13:30:49.000Z,808de138a97c75659c6dd1ac5f33c2b635ce9094,,,
ObjectId(5db05af3620444f3d7c9e147),2019-10-23T13:31:34.851309+00:00,011019,,0.16,245.75,0.15,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:51:47.000Z,2019-10-23T13:51:47.000Z,45c950c5e22a4a9037a7118028cadb91343f808a,,,
ObjectId(5db05b1d620444f3d7c9e148),2019-10-23T13:33:35.334854+00:00,011019,,0.18,241.36,0.15,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:52:29.000Z,2019-10-23T13:52:29.000Z,538853370fb84b58a9f041231da79442037ec9e0,,,
ObjectId(5db05b9e620444f3d7c9e149),2019-10-23T13:35:35.654323+00:00,011019,,0.16,243.53,0.05,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:54:38.000Z,2019-10-23T13:54:38.000Z,350e3c2de78ee83d494ec7ad1871a98a6d3c897a,,,
ObjectId(5db05c20620444f3d7c9e14a),2019-10-23T13:37:36.080587+00:00,011019,,0.16,242.46,0.22,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:56:48.000Z,2019-10-23T13:56:48.000Z,da59e0c292124cb2b01e1cd4876e46011c58a4a4,,,
ObjectId(5db05ca3620444f3d7c9e14b),2019-10-23T13:39:36.460379+00:00,011019,,0.17,241.72,0.12,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:58:59.000Z,2019-10-23T13:58:59.000Z,1c733faed31363d49def7943927f1cecf5a2fc89,,,
ObjectId(5db05d25620444f3d7c9e14c),2019-10-23T13:41:36.901048+00:00,011019,,0.15,242.27,0.09,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T14:01:09.000Z,2019-10-23T14:01:09.000Z,e0168184b73aa7b07ccaa5c21afe41ae2ecb1e37,,,
